"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3,90,-180,-21.6861250353681
3,90,-175,-23.5156746419666
3,90,-170,-24.7060264661719
3,90,-165,-24.5098961487678
3,90,-160,-23.2341257216325
3,90,-155,-21.7086922524405
3,90,-150,-20.3477951396306
3,90,-145,-19.243853624219
3,90,-140,-18.3811217343315
3,90,-135,-17.7177231080613
3,90,-130,-17.2082019737805
3,90,-125,-16.8084658117173
3,90,-120,-16.4765558963413
3,90,-115,-16.173296267357
3,90,-110,-15.864002120023
3,90,-105,-15.5211922444382
3,90,-100,-15.1273871709398
3,90,-95,-14.6766670562768
3,90,-90,-14.1740755575371
3,90,-85,-13.6330192886189
3,90,-80,-13.0717362624015
3,90,-75,-12.5100579892168
3,90,-70,-11.9671812114341
3,90,-65,-11.4605403779475
3,90,-60,-11.0055051645143
3,90,-55,-10.6155494285559
3,90,-50,-10.3026148304812
3,90,-45,-10.0775023315788
3,90,-40,-9.95021059178366
3,90,-35,-9.93018968046542
3,90,-30,-10.0264959642561
3,90,-25,-10.247823952
3,90,-20,-10.6023496300974
3,90,-15,-11.0972295938858
3,90,-10,-11.7374196415464
3,90,-5,-12.5231291729806
3,90,0,-13.4446211021638
3,90,5,-14.4723022573441
3,90,10,-15.5403848137579
3,90,15,-16.5287484749486
3,90,20,-17.2677502214972
3,90,25,-17.6063394262175
3,90,30,-17.5187618384537
3,90,35,-17.1231608155119
3,90,40,-16.5852294322555
3,90,45,-16.0320295507051
3,90,50,-15.5337360166486
3,90,55,-15.1192326132085
3,90,60,-14.7939055698135
3,90,65,-14.5511656273457
3,90,70,-14.3786767671346
3,90,75,-14.2615306165618
3,90,80,-14.1839465960969
3,90,85,-14.1304156143649
3,90,90,-14.0867779007727
3,90,95,-14.041433122414
3,90,100,-13.9866382413661
3,90,105,-13.919653462152
3,90,110,-13.8434138637094
3,90,115,-13.7664938129265
3,90,120,-13.7023640217166
3,90,125,-13.6681888755823
3,90,130,-13.6835382318225
3,90,135,-13.769351557191
3,90,140,-13.9473558543475
3,90,145,-14.2399964605664
3,90,150,-14.670845863773
3,90,155,-15.265400697641
3,90,160,-16.0520788052272
3,90,165,-17.0628492811244
3,90,170,-18.3315061756336
3,90,175,-19.8824984691776
3,90,180,-21.6861250353681
