"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3,0,-180,-18.9310775773549
3,0,-175,-18.6685676108375
3,0,-170,-18.2504463246378
3,0,-165,-17.7557718067934
3,0,-160,-17.2510418104684
3,0,-155,-16.7814547244156
3,0,-150,-16.3728677217831
3,0,-145,-16.0371523879683
3,0,-140,-15.7772214927634
3,0,-135,-15.5907456436564
3,0,-130,-15.4726644402137
3,0,-125,-15.4168112122786
3,0,-120,-15.4169047270064
3,0,-115,-15.4670596289517
3,0,-110,-15.5618980227549
3,0,-105,-15.6963116634524
3,0,-100,-15.864915500108
3,0,-95,-16.061240426013
3,0,-90,-16.2767411451939
3,0,-85,-16.4997645456826
3,0,-80,-16.7147592145378
3,0,-75,-16.9021995730149
3,0,-70,-17.0398408442077
3,0,-65,-17.1057578014164
3,0,-60,-17.0828783404144
3,0,-55,-16.9635516768104
3,0,-50,-16.7519989552142
3,0,-45,-16.463275400812
3,0,-40,-16.1193058030375
3,0,-35,-15.7440036645322
3,0,-30,-15.3593809301076
3,0,-25,-14.9834419291325
3,0,-20,-14.629644081828
3,0,-15,-14.3072969956987
3,0,-10,-14.0223173487718
3,0,-5,-13.7779652164599
3,0,0,-13.5753845375339
3,0,5,-13.4139082596392
3,0,10,-13.2911749572908
3,0,15,-13.2031545525198
3,0,20,-13.1442051086384
3,0,25,-13.1072813685005
3,0,30,-13.0843848913507
3,0,35,-13.0672819096865
3,0,40,-13.0484238714108
3,0,45,-13.0219105537681
3,0,50,-12.9842779807824
3,0,55,-12.934912896121
3,0,60,-12.8759986440053
3,0,65,-12.8120413277134
3,0,70,-12.7491412360757
3,0,75,-12.6942140383923
3,0,80,-12.6543285585488
3,0,85,-12.63624947355
3,0,90,-12.6461958162732
3,0,95,-12.6897742925432
3,0,100,-12.7720246402521
3,0,105,-12.8975152321134
3,0,110,-13.0704401417589
3,0,115,-13.2946839836448
3,0,120,-13.5738294616316
3,0,125,-13.9110770499885
3,0,130,-14.3090192814618
3,0,135,-14.7691568905211
3,0,140,-15.2909560933268
3,0,145,-15.8701323218073
3,0,150,-16.4957551438153
3,0,155,-17.1458818103634
3,0,160,-17.7822198663201
3,0,165,-18.3465931344735
3,0,170,-18.7656911872534
3,0,175,-18.9712154541749
3,0,180,-18.9310775773549
