"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
9,90,-180,-8.8417650594274
9,90,-175,-7.14615062117112
9,90,-170,-5.89918388358145
9,90,-165,-5.24894130020449
9,90,-160,-5.39498601244247
9,90,-155,-6.60695109583566
9,90,-150,-9.25683073259897
9,90,-145,-13.9581748700146
9,90,-140,-20.0363875934117
9,90,-135,-17.7779502407061
9,90,-130,-14.4589561583572
9,90,-125,-12.7042311958689
9,90,-120,-11.5929088934948
9,90,-115,-10.6742110569032
9,90,-110,-9.85707085227487
9,90,-105,-9.21601822114345
9,90,-100,-8.84611161042951
9,90,-95,-8.78433529862289
9,90,-90,-8.98114035919328
9,90,-85,-9.29969087330598
9,90,-80,-9.5479833649996
9,90,-75,-9.55687226999177
9,90,-70,-9.25501992446508
9,90,-65,-8.67006393943537
9,90,-60,-7.88357927527688
9,90,-55,-6.99628792630849
9,90,-50,-6.11014029376877
9,90,-45,-5.32306094713455
9,90,-40,-4.72530203449262
9,90,-35,-4.38802337492343
9,90,-30,-4.35546360471549
9,90,-25,-4.65406992312608
9,90,-20,-5.31162385057986
9,90,-15,-6.35865813800261
9,90,-10,-7.77066190876852
9,90,-5,-9.31263807372019
9,90,0,-10.433756987011
9,90,5,-10.7680764833592
9,90,10,-10.6555633829435
9,90,15,-10.4554160507617
9,90,20,-10.0957952551182
9,90,25,-9.43309545169319
9,90,30,-8.58263398501657
9,90,35,-7.80462936524988
9,90,40,-7.31674512084102
9,90,45,-7.2356875860194
9,90,50,-7.56119192239291
9,90,55,-8.1815699632294
9,90,60,-8.91942281271372
9,90,65,-9.60311726862724
9,90,70,-10.1145942611424
9,90,75,-10.4092194124215
9,90,80,-10.5325180559221
9,90,85,-10.5958165243038
9,90,90,-10.7076257996477
9,90,95,-10.9260234113097
9,90,100,-11.2529993632473
9,90,105,-11.6459367343975
9,90,110,-12.0196474154361
9,90,115,-12.2284116286025
9,90,120,-12.083202767207
9,90,125,-11.4845353223311
9,90,130,-10.5245051616323
9,90,135,-9.38108148299463
9,90,140,-8.22312252886081
9,90,145,-7.25047292039048
9,90,150,-6.70811915475776
9,90,155,-6.82865568727984
9,90,160,-7.7641944245776
9,90,165,-9.42085531541496
9,90,170,-10.891484147539
9,90,175,-10.5472579439457
9,90,180,-8.8417650594274
