"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
6,0,-180,-16.0951606039502
6,0,-175,-13.9532596773225
6,0,-170,-12.2031375951981
6,0,-165,-10.8401040456921
6,0,-160,-9.88411817238771
6,0,-155,-9.35462637453847
6,0,-150,-9.2636719316689
6,0,-145,-9.61430486298244
6,0,-140,-10.3982192784457
6,0,-135,-11.5883708665482
6,0,-130,-13.1162648945537
6,0,-125,-14.8038793674069
6,0,-120,-16.2127186801718
6,0,-115,-16.6212212282048
6,0,-110,-15.7223903490952
6,0,-105,-14.0630010541677
6,0,-100,-12.2421053126947
6,0,-95,-10.5235260755776
6,0,-90,-8.97852931427208
6,0,-85,-7.61001488011563
6,0,-80,-6.39864982336222
6,0,-75,-5.31554381661223
6,0,-70,-4.3250406156564
6,0,-65,-3.38753557140434
6,0,-60,-2.46661302500557
6,0,-55,-1.53978369681375
6,0,-50,-0.60672193432137
6,0,-45,0.31175748213943
6,0,-40,1.18402972563705
6,0,-35,1.98031543724929
6,0,-30,2.68077750680095
6,0,-25,3.27708146594194
6,0,-20,3.76930038193505
6,0,-15,4.16114629555525
6,0,-10,4.45598026895036
6,0,-5,4.65486266055789
6,0,0,4.75658371356747
6,0,5,4.75871820501916
6,0,10,4.6586216602742
6,0,15,4.45375489926898
6,0,20,4.1413487203175
6,0,25,3.71790083414926
6,0,30,3.17922639457915
6,0,35,2.52169120088911
6,0,40,1.74477708992725
6,0,45,0.854309597145826
6,0,50,-0.135259735739817
6,0,55,-1.20171364282948
6,0,60,-2.32060795255279
6,0,65,-3.47421028981537
6,0,70,-4.65871764540879
6,0,75,-5.88386672957214
6,0,80,-7.16357849799958
6,0,85,-8.50158503606504
6,0,90,-9.87690852614616
6,0,95,-11.2329540978602
6,0,100,-12.4768973859005
6,0,105,-13.5010437690114
6,0,110,-14.2278094736572
6,0,115,-14.6496714470769
6,0,120,-14.8326762188747
6,0,125,-14.8956583114605
6,0,130,-14.9915858376781
6,0,135,-15.292949816721
6,0,140,-15.9804467545382
6,0,145,-17.2460424883861
6,0,150,-19.3190438929639
6,0,155,-22.4735500933683
6,0,160,-26.2825060879184
6,0,165,-25.9620430443423
6,0,170,-22.0542299123109
6,0,175,-18.7174820371817
6,0,180,-16.0951606039502
