"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
9,0,-180,-12.8313401096586
9,0,-175,-8.07723812620066
9,0,-170,-4.0464031591767
9,0,-165,-2.41396823497889
9,0,-160,-2.45317900121308
9,0,-155,-3.82235290494066
9,0,-150,-6.17274383893207
9,0,-145,-8.423812305115
9,0,-140,-9.17722782748017
9,0,-135,-9.35906006643761
9,0,-130,-9.82996942660115
9,0,-125,-9.71624065845242
9,0,-120,-8.19987144817085
9,0,-115,-5.78709040533407
9,0,-110,-3.38232651438651
9,0,-105,-1.44475360947083
9,0,-100,-0.0157299221310312
9,0,-95,0.995022940296403
9,0,-90,1.65774126965264
9,0,-85,2.00652194483181
9,0,-80,2.08388283244618
9,0,-75,1.9787041015688
9,0,-70,1.79971802395332
9,0,-65,1.5694854042103
9,0,-60,1.14744848373647
9,0,-55,0.31594607416845
9,0,-50,-0.897712510934363
9,0,-45,-1.33907062721185
9,0,-40,0.542983944127238
9,0,-35,3.25791220645008
9,0,-30,5.3256472354859
9,0,-25,6.46688229575544
9,0,-20,6.65798092922327
9,0,-15,5.78309938637096
9,0,-10,3.45079942554666
9,0,-5,-1.59835768827792
9,0,0,-12.6988636358147
9,0,5,-1.92033454235992
9,0,10,3.17826484202483
9,0,15,5.47206793453533
9,0,20,6.26987673032453
9,0,25,5.97668412824528
9,0,30,4.71710658629801
9,0,35,2.51635115213701
9,0,40,-0.329731103684161
9,0,45,-2.16630895486785
9,0,50,-1.42608752910941
9,0,55,0.0518523163208599
9,0,60,1.07876746029164
9,0,65,1.638897995573
9,0,70,1.95441481496382
9,0,75,2.17831101646788
9,0,80,2.31252182743446
9,0,85,2.28198832660186
9,0,90,2.00784883588991
9,0,95,1.40630621528887
9,0,100,0.374989159902936
9,0,105,-1.18167647848874
9,0,110,-3.22339524361124
9,0,115,-5.31771494454743
9,0,120,-6.80513701197384
9,0,125,-7.73887515357036
9,0,130,-8.52900669775474
9,0,135,-9.03544336412989
9,0,140,-8.75417233172865
9,0,145,-7.23086902605149
9,0,150,-4.96575886070498
9,0,155,-3.03197700120456
9,0,160,-2.02182266623849
9,0,165,-2.19823797994115
9,0,170,-3.87901375887049
9,0,175,-7.77272457120953
9,0,180,-12.8313401096586
