"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
3,90,-180,-22.6124718018612
3,90,-175,-20.7300322422449
3,90,-170,-19.2419950282635
3,90,-165,-18.066815753321
3,90,-160,-17.1448428610431
3,90,-155,-16.4332873745551
3,90,-150,-15.9002012453138
3,90,-145,-15.5200973756859
3,90,-140,-15.2709485367441
3,90,-135,-15.1320912733781
3,90,-130,-15.082711943202
3,90,-125,-15.1007594758541
3,90,-120,-15.162281687812
3,90,-115,-15.241315230391
3,90,-110,-15.3105404305741
3,90,-105,-15.3428744944676
3,90,-100,-15.3139553961977
3,90,-95,-15.2050833027396
3,90,-90,-15.0058127984804
3,90,-85,-14.7153096444945
3,90,-80,-14.3419634714745
3,90,-75,-13.9014180416946
3,90,-70,-13.4137391120559
3,90,-65,-12.9005847210906
3,90,-60,-12.382996675822
3,90,-55,-11.8800397740869
3,90,-50,-11.4082043725891
3,90,-45,-10.9813439061071
3,90,-40,-10.6109117213463
3,90,-35,-10.3063219832281
3,90,-30,-10.0753308782964
3,90,-25,-9.92438762643206
3,90,-20,-9.85893270524321
3,90,-15,-9.88362774414972
3,90,-10,-10.0024954616684
3,90,-5,-10.2189342771768
3,90,0,-10.5355516633786
3,90,5,-10.9537289885341
3,90,10,-11.4727818217407
3,90,15,-12.0885101471705
3,90,20,-12.7908614470462
3,90,25,-13.5604483039002
3,90,30,-14.3640451599903
3,90,35,-15.150494216354
3,90,40,-15.8511248814456
3,90,45,-16.3911594667453
3,90,50,-16.7143951461601
3,90,55,-16.8088173049366
3,90,60,-16.711594317479
3,90,65,-16.488754415872
3,90,70,-16.2083220815719
3,90,75,-15.9244029248798
3,90,80,-15.6739839022921
3,90,85,-15.480262732319
3,90,90,-15.3573723943965
3,90,95,-15.3143400304685
3,90,100,-15.357893547533
3,90,105,-15.4943641919946
3,90,110,-15.7310478773924
3,90,115,-16.0773468089002
3,90,120,-16.5459575147405
3,90,125,-17.1543508329747
3,90,130,-17.9268290357922
3,90,135,-18.8975558439471
3,90,140,-20.1150531522842
3,90,145,-21.6480861820879
3,90,150,-23.5874655825585
3,90,155,-26.001778187316
3,90,160,-28.5958345811172
3,90,165,-29.6161145095997
3,90,170,-27.7086261904144
3,90,175,-24.9737767190732
3,90,180,-22.6124718018612
