"Freq [GHz]","Phi [deg]","Theta [deg]","dB(GainTotal) []"
6,90,-180,-17.8794026290149
6,90,-175,-17.6924543991259
6,90,-170,-13.1999672529111
6,90,-165,-10.2780290510704
6,90,-160,-8.5789032839344
6,90,-155,-7.66454394760796
6,90,-150,-7.26322566738973
6,90,-145,-7.17741695789462
6,90,-140,-7.26396371360952
6,90,-135,-7.4440363706376
6,90,-130,-7.66982697499971
6,90,-125,-7.82504766192251
6,90,-120,-7.68662132125665
6,90,-115,-7.12363470883894
6,90,-110,-6.30284801405322
6,90,-105,-5.51922438847795
6,90,-100,-4.96163030915134
6,90,-95,-4.69776310742154
6,90,-90,-4.75315334607046
6,90,-85,-5.1651092623629
6,90,-80,-5.97011494166738
6,90,-75,-7.05267439796922
6,90,-70,-7.67379821790946
6,90,-65,-6.47958886663073
6,90,-60,-3.7527542689932
6,90,-55,-0.848238083355776
6,90,-50,1.68764383305934
6,90,-45,3.78623680523074
6,90,-40,5.48469259758571
6,90,-35,6.82801033597829
6,90,-30,7.85074211552789
6,90,-25,8.57519395799853
6,90,-20,9.01260052659894
6,90,-15,9.1645317806438
6,90,-10,9.02373128694735
6,90,-5,8.57398465525815
6,90,0,7.78872831380519
6,90,5,6.62784183027833
6,90,10,5.03129516585279
6,90,15,2.9074852347747
6,90,20,0.117849526749645
6,90,25,-3.48812097392594
6,90,30,-7.45976459812374
6,90,35,-8.59128312181905
6,90,40,-6.52655730485387
6,90,45,-4.68829832864052
6,90,50,-3.69798574493167
6,90,55,-3.40000601372047
6,90,60,-3.60806903034965
6,90,65,-4.15348194625144
6,90,70,-4.87930277238494
6,90,75,-5.65579429814206
6,90,80,-6.40816913743143
6,90,85,-7.12495744896136
6,90,90,-7.83379953030426
6,90,95,-8.5621165487031
6,90,100,-9.29411751344307
6,90,105,-9.91832604051616
6,90,110,-10.1911632907167
6,90,115,-9.8322981983442
6,90,120,-8.79388485530081
6,90,125,-7.35574491310286
6,90,130,-5.88505587675112
6,90,135,-4.64095361360069
6,90,140,-3.76027717568946
6,90,145,-3.30440701393753
6,90,150,-3.30145043561227
6,90,155,-3.77702806565968
6,90,160,-4.78055623981741
6,90,165,-6.4170946432643
6,90,170,-8.90320628889113
6,90,175,-12.6688452003163
6,90,180,-17.8794026290149
